ベース,カクテル名,材料１,材料２,材料３,材料４,材料５,材料６,材料７,材料８,材料９,材料１０
ウイスキー,ハンター,ウイスキー　3/4,チェリーブランデー　1/4,,,,,,,,
ウイスキー,ゴッドファザー,ウイスキー　3/4,アマレット　1/4,,,,,,,,
ウイスキー,ラスティー・ネール,ウイスキー　40ml,ドランブイ　20ml,,,,,,,,
ウイスキー,ウイスキー・ソーダ,ウイスキー　45ml,ソーダ　適量,,,,,,,,
ウイスキー,ブルックリン,ウイスキー　2/3,ドライベルモット　1/3,マラスキーノ　1/2tsp,カンパリ　1/2tsp,,,,,,
ウイスキー,ホット・ウイスキー・トゥデイ,ウイスキー　45ml,角砂糖　1個,熱湯　適量,レモンスライス　1枚,,,,,,
ウイスキー,ニューヨーク,ウイスキー　3/4,ライムジュース（またはレモンジュース）　1/4,グレナデンシロップ　1/2tsp,砂糖　1/2tsp,,,,,,
ウイスキー,アイリッシュ・コーヒー,アイリッシュウイスキー　30ml,赤ザラメ　1tsp,ホットコーヒー（濃い目）　適量,生クリーム　適量,,,,,,
ウイスキー,カリフォルニア・レモネード,ウイスキー　45ml,レモンジュース　20ml,ライムジュース　10ml,グレナデンシロップ　1tsp,砂糖　1tsp,ソーダ　適量,,,,
ウイスキー,キングス・バレー,ウイスキー　4/6,ホワイトキュラソー　1/6,ライムジュース　1/6,ブルーキュラソー　1tsp,,,,,,
ウイスキー,ホール・イン・ワン,ウイスキー　2/3,ドライベルモット　1/3,レモンジュース　2ダッシュ,オレンジジュース　1ダッシュ,,,,,,
ウイスキー,スコッチ・キルト,スコッチウイスキー　2/3,ドランブイ　1/3,オレンジピターズ　2ダッシュ,,,,,,,
ウイスキー,バナナ・バード,バーボンウイスキー　30ml,生クリーム　30ml,バナナリキュール　2tsp,ホワイトキュラソー　2tsp,バナナ　1切れ,,,,,
ウイスキー,オールド・パル,ウイスキー　1/3,ドライベルモット　1/3,カンパリ　1/3,,,,,,,
ウイスキー,バーボネラ,バーボンウイスキー　1/2,ドライベルモット　1/4,オレンジキュラソー　1/4,グレナデンシロップ　1ダッシュ,,,,,,
ウイスキー,ウイスキー・ミスト,ウイスキー　60ml,クラッシュドアイス　1グラス,,,,,,,,
ウイスキー,ミント・ジュレップ,ウイスキー　60ml,砂糖　2tsp,ミントの葉　3枚,ミネラルウォーター　30ml,,,,,,
ウイスキー,ウイスキー・サワー,ウイスキー　45ml,レモンジュース　20ml,砂糖　1tsp,レモンスライス　1枚,レッドチェリー　1個,,,,,
ウイスキー,ドライ・マンハッタン,ウイスキー　3/4,スイートベルモット　1/4,アロマチックビターズ　1ダッシュ,オリーブ　1個,,,,,,
ウイスキー,マンハッタン,ウイスキー　2/3,スイートベルモット　1/3,アロマチックビターズ　1ダッシュ,レッドチェリー　1個,,,,,,
ウイスキー,オールド・ファッションド,ウイスキー　45ml,角砂糖　1個,アロマチックビターズ　1ダッシュ,オレンジスライス　1枚,レモンスライス　1枚,レッドチェリー　1個,,,,
ウイスキー,ウイスキー・フロート,ウイスキー　45ml,ミネラルウォータ　適量,,,,,,,,
ウイスキー,ホット・ウイスキー・トゥデイ,ウイスキー　45ml,角砂糖　1個,熱湯　適量,レモンスライス　1枚,,,,,,
ウイスキー,アイリッシュ・コーヒー,アイリッシュウイスキー　30ml,赤ザラメ　1tsp,ホットコーヒー（濃い目）　適量,生クリーム　適量,,,,,,
ウォッカ,ブラディー・ブル1,ウォッカ　30ml,レモンジュース　15ml,ウスターソース　1ダッシュ,タバスコ　1ダッシュ,ビーフブイヨン　適量,トマトジュース　適量,,,,
ウォッカ,ルシアン,ウォッカ　1/3,ジン　1/3,カカオリキュール　1/3,,,,,,,
ウォッカ,バラライカ,ウォッカ　1/2,ホワイトキュラソー　1/4,レモンジュース　1/4,,,,,,,
ウォッカ,ブラックルシアン,ウォッカ　40ml,コーヒーリキュール　20ml,,,,,,,,
ウォッカ,ソルティー・ドッグ,ウォッカ　35～45ml,グレープフルーツジュース　適量,塩　適量,,,,,,,
ウォッカ,ブル・ショット,ウォッカ　30ml,ビーフブイヨン　60ml,,,,,,,,
ウォッカ,カミカゼ,ウォッカ　45ml,ホワイトキュラソー　5ml,ライムジュース　10ml,,,,,,,
ウォッカ,レッド・バード,ウォッカ　30ml,トマトジュース　60ml,ビール　60ml,,,,,,,
ウォッカ,モスコー・ミュール,ウォッカ　45ml,レモンジュース（またはライムジュース）　15ml,ジンジャーエール　適量,レモンスライス（またはライムスライス）　1枚,,,,,,
ウォッカ,雪国,ウォッカ　1/2,ホワイトキュラソー　1/4,ライムジュース　1/4,グリーンチェリー　1個,グラニュー糖　適量,,,,,
ウォッカ,ブラディー・メアリー,ウォッカ　30～45ml,トマトジュース　適宜,カットレモン　1個,セロリ　適宜,,,,,,
ウォッカ,チチ,ウォッカ　30ml,パイナップルジュース　80ml,ココナッツミルク　45ml,カットパイナップル　1個,レッドチェリー　1個,,,,,
ウォッカ,ハイ・ライフ,ウォッカ　45ml,ホワイトキュラソー　10ml,パイナップルジュース　10ml,卵白　1個分,,,,,,
ウォッカ,ハーベイ・ウォールバンガー,ウォッカ　45ml,オレンジジュース　適量,ガリアーノ　2 tsp,,,,,,,
ウォッカ,アブドゥーグ,ウォッカ　30ml,プレーンヨーグルト　60ml,塩　少量,ソーダ　適量,,,,,,
ウォッカ,スクリュードライバー,ウォッカ　35～45ml,オレンジジュース　適量,,,,,,,,
ウォッカ,スクリュードライバー,ウォッカ　35～45ml,オレンジジュース　適量,,,,,,,,
ウォッカ,モスコー・ミュール,ウォッカ　45ml,レモンジュース（またはライムジュース）　15ml,ジンジャーエール　適量,レモンスライス（またはライムスライス）　1枚,,,,,,
ウォッカ,ハーベイ・ウォールバンガー,ウォッカ　45ml,オレンジジュース　適量,ガリアーノ　2 tsp,,,,,,,
ウォッカ,ルシアン,ウォッカ　1/3,ジン　1/3,カカオリキュール　1/3,,,,,,,
カルア,カルアアイスコーヒー,カルアコーヒーリキュール　1/4,アイスコーヒー（無糖）　3/4,,,,,,,,
カルア,カルアミルク,カルアコーヒーリキュール　45ml,生クリーム　15ml,,,,,,,,
カルア,カルアミルク,カルアコーヒーリキュール　45ml,生クリーム　15ml,,,,,,,,
カンパリ,カンパリ・グレープフルーツ,カンパリ　1/4,グレープフルーツジュース　3/4,,,,,,,,
カンパリ,カンパリ・ソーダ,カンパリ　45ml,ソーダ　適量,カットオレンジ　1個,,,,,,,
カンパリ,カンパリ・オレンジ,カンパリ　45ml,オレンジジュース　適量,カットオレンジ　1個,,,,,,,
カンパリ,スプモーニ,カンパリ　20ml,グレープフルーツジュース　30ml,トニックウォーター　適量,グレープフルーツスライス　1/2枚,,,,,,
カンパリ,アメリカーノ,カンパリ　30ml,スイートベルモット　30ml,ソーダ　適量,オレンジスライス　1/2枚,,,,,,
ジン,パラダイス,ジン　1/2,アプリコットブランデー　1/4,オレンジジュース　1/4,,,,,,,
ジン,ネグローニ,ジン　30ml,カンパリ　30ml,スイートベルモット　30ml,オレンジスライス　1枚,,,,,,
ジン,オレンジ・ブロッサム,ジン　2/3,オレンジジュース　1/3,,,,,,,,
ジン,タンゴ,ジン　2/5,ドライベルモット　1/5,スイートベルモット　1/5,オレンジキュラソー　1/5,オレンジジュース　2ダッシュ,,,,,
ジン,パリジャン,ジン　1/2,ドライベルモット　1/3,クレームドカシス　1/6,,,,,,,
ジン,ドッグズ・ノーズ,ジン　45ml,ビール　90ml,,,,,,,,
ジン,マティーニ,ジン　4/5,ドライベルモット　1/5,オリーブ　1個,,,,,,,
ジン,ギムレット,ジン　3/4,ライムジュース　1/4,,,,,,,,
ジン,ピンク・レディ,ジン　45ml,グレナデン・シロップ　20ml,卵白　1個分,,,,,,,
ジン,ジン・アンド・ビターズ,ジン　60ml,アロマチック・ビターズ　１ダッシュ,,,,,,,,
ジン,アラウンド・ザ・ワールド,ジン　2/3,グリーンペパーミントリキュール　1/6,パイナップルジュース　1/6,,,,,,,
ジン,ジン・アンド・イット,ジン　1/2,スイートベルモット　1/2,,,,,,,,
ジン,青い珊瑚礁,ジン　2/3,グリーンペパーミント　1/3,レッドチェリー　1個,砂糖　適宜,,,,,,
ジン,シンガポール・スリング,ジン　45ml,レモンジュース　20ml,砂糖　1～2tsp,チェリーブランデー　15ml,ソーダ　適量,レッドチェリー、オレンジ　適宜,,,,
ジン,トム・コリンズ,ジン　60ml,レモンジュース　20ml,砂糖　2tsp,ソーダ　適量,レモンスライス　1枚,,,,,
ジン,ギブソン,ジン　5/6,ドライベルモット　1/6,パールオニオン　1個,,,,,,,
ジン,ジン・トニック,ジン　45ml,トニックウォーター 　適量,ライムスライス（またはレモンスライス）　1枚,,,,,,,
ジン,ジン・フィズ,ジン　45ml,レモンジュース　20ml,砂糖　2tsp,ソーダ　適量,レモンスライス　1枚,,,,,
ジン,アースクエーク,ジン　1/3,ウイスキー　1/3,ヘルメスアブサン　1/3,,,,,,,
ジン,フレンチ75,ジン　45ml,レモンジュース　20ml,砂糖　1tsp,スパークリングワイン　適量,,,,,,
ジン,ブラッドハウンド,ジン　30ml,ドライベルモット　15ml,スイートベルモット　15ml,イチゴ　2個,クラッシュドアイス　2/3カップ,,,,,
ジン,ジン・フィズ,ジン　45ml,レモンジュース　20ml,砂糖　2tsp,ソーダ　適量,レモンスライス　1枚,,,,,
ジン,ピンク・レディ,ジン　45ml,グレナデン・シロップ　20ml,卵白　1個分,,,,,,,
ジン,青い珊瑚礁,ジン　2/3,グリーンペパーミント　1/3,レッドチェリー　1個,砂糖　適宜,,,,,,
ジン,シンガポール・スリング,ジン　45ml,レモンジュース　20ml,砂糖　1～2tsp,チェリーブランデー　15ml,ソーダ　適量,レッドチェリー、オレンジ　適宜,,,,
テキーラ,ブラディー・ブル2,テキーラ　30ml,トマトジュース　60ml,ビーフブイヨン　60ml,ライムジュース　15ml,,,,,,
